text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
khởi_động hơi shipper vẻ chảnh không hơi nóng nhẹ ổn giao hơi,0,0,0,0,0,0,0,0,0
sản_phẩm_chất_lượng giá_thành đổi tư_vấn nhiệt_tình chế_độ hậu_mãi tốt mua sản_phẩm shop,0,0,0,0,0,0,1,0,0
shop giao hàng uy_tín chất_lượng sản_phẩm đúng như quảng_cáo test máy chức_năng cơ_bản ổn màn_hình cảm_ứng mượt mạng game lướt web êm_ái đều như mong_đợi giá_cả hợp_lý shop hài_lòng lắm giới_thiệu shop bạn_bè người_thân ủng_hộ,0,0,1,0,1,0,1,0,0
shop đóng_gói cẩn_thận hàng chất_lượng uy_tín đầy_đủ phụ_kiện,0,0,0,1,0,0,0,1,0
máy chuẩn nha anh_em shop giao hàng ok đúng hẹn chất_lượng máy tốt ngoại_hình đẹp cấu_hình ổn_định chức_năng chạy mượt màn_hình cảm_ứng nhạy màu_sắc_đẹp như mong đợ chiến game sướng pin trâu hài_lòng đánh 10 chất_lượng phục_vụ,1,0,1,1,0,1,1,0,0
shop nhiệt_tình hàng tốt giá rẻ phục_vụ chu_đáo ... mua,0,0,0,0,1,0,1,0,0
cửa_hàng tiếp_nhận đơn giao hàng nhanh đóng_gói đẹp & đảm_bảo chất_lượng sản_phẩm tùy nsx quan_điểm ủng_hộ vsmart hàng chất giá tốt,0,0,0,1,0,0,0,0,0
tuyệt_vời đaz mua tổng_cộng 3cái r,0,0,0,0,0,0,0,0,0
sản_phẩm_chất_lượng giao hàng nhanh,0,0,0,1,0,0,0,0,0
đúng hàng giao hàng nhanh đóng_gói kĩ_càng nguyên siêu chờ tiếng việt,0,0,0,0,0,0,0,0,0
không chê shop phục_vụ tốt đóng_gói chắc_chắn chống sốc dày shop nhanh mua ủng_hộ shop 100 % hãng đầy_đủ phù_kiện shop 10,0,0,0,1,0,1,1,1,0
sản ok k chê đc tks shop không tặng kính cường bùn xíu,0,0,0,0,0,0,0,0,1
chất_lượng sản_phẩm giá tiền không đòi_hỏi v,0,0,0,0,1,0,0,0,0
không mua hàng shop mua máy sạc 20 phút sập liên_hệ shop im_re không thèm rep trừ khách_hàng hoàn hàng khiếu_nại không đổi - mô_tả ghi hoàn_trả 30,0,0,0,0,0,0,0,0,1
tốt hàng hãng nguyên seal,0,0,0,0,0,1,0,0,0
9 trải nghiệm xz1 màu xanh au hộp đầy_đủ máy sạc dây sạc tai_nghe ốp dẻo phiếu hướng_dẫn hình_thức như ảnh shop chụp tính_năng ok nhanh mạnh ( mi 5x ) hài_lòng pin màn vệt ổn tầm tiền,1,0,1,0,0,0,0,1,0
dien thoai nhiet tinh,0,0,0,0,0,0,0,0,0
hàng chất_lượng thank_shop,0,0,0,0,0,0,0,0,0
mỗi_tội nguyên sale chưa cài tiếng việt nua,0,0,0,0,0,0,0,0,0
sản_phẩm hãng ngon_lành cành đào,0,0,0,0,0,1,0,0,0
shop nhiệt_tình,0,0,0,0,0,0,0,0,0
chụp siêu nét máy chạy muợt,0,0,0,0,0,0,0,0,0
giao sản_phẩm mô_tả quản_cáo đt giao điện_thoại cũ trầy camera xước màn_hình khóa màn_hình dòng nhắn_tin shop không phản_hồi,1,1,0,0,0,0,1,0,0
sản_phẩm ok đóng_gói kỹ giao hàng nhanh ủng_hộ shop tiếp,0,0,0,1,0,0,0,0,0
sp chất_lượng mìh đóng_gói ok 5,0,0,0,0,0,0,0,0,0
máy đẹp nguyên niêm_phong chạy mượt lắm shop 5,0,1,1,0,0,1,0,0,0
hôm_nay ipad 4 hàng_y hình 97 % móp góc chút_xíu xước nhẹ 1đường máy ok như pin 3ngày pin phần_mềm trước_mắt ok ok mua 1máy đăng quảng_cáo dùm shop 5 * tư_vấn nhiệt_tình,1,1,0,0,0,0,1,0,0
amazing gút chóp,0,0,0,0,0,0,0,0,0
ship mua trúng lễ ad nhiệt_tình phản hộp ướt chưa chưa như nha_😊,0,0,0,0,0,0,0,0,0
4 loa nghe tuyệt_vời,1,0,0,0,0,0,0,0,0
đóng_gói sản_phẩm cẩn_thận sản_phẩm đúng mô_tả chất_lượng sản_phẩm tuyệt_vời điện_thoại không kèm tai_nghe,0,0,0,1,0,0,0,1,0
shop uy_tín giao hàng nhanh đúng chất_lượng test chức_năng ổn nghe gọi ok ứng_dụng hoạt_động tốt màn_hình đẹp màu_sắc rực_rỡ như mong_đợi vừa_ý hài giới_thiệu bạn_bè người_thân ủng_hộ an_tâm sản_phẩm shop ri,1,0,1,1,0,0,0,0,0
hàng tư_vấn nhiệt hãng nguyên niêm_phong,0,0,0,0,0,1,1,0,0
máy shop,0,0,0,0,0,0,0,0,1
hàng tuyệt đẹp va nguyên niêm_phong nguyên zịn ưng_ý,0,0,0,0,0,0,0,0,0
ok lắm giao hàng nhanh máy tốt chức_năng hoạt_động ổn shop nhiệt_tình điện_thoại như shop quảng_cáo hài_lòng chúc shop nhìu,0,0,1,1,0,0,1,0,0
đẹp shop hàng đúng hãng chức_năng hoạt_động tốt màn_hình cảm_ứng nhạy màu_sắc rực_rỡ camera chụp ảnh đẹp hoàn_hảo lắm shop giao hàng chất_lượng đúng như quảng_cáo an_tâm sản_phẩm shop,1,1,1,0,0,1,0,0,0
máy đẹp mua shop,0,1,0,0,0,0,0,0,0
hài_lòng sản_phẩm shop máy đẹp hoạt_động ổn_định cấu_hình mạnh màn_hình cảm_ứng nhạy màu_sắc rực_rỡ như mong_đợi shop giao hàng nhanh đúng hẹn chất_lượng đúng như quảng_bá đồng_tiền shop,1,1,1,1,1,0,0,0,0
hoàn_thiện sản_phẩm đẹp màu_sắc rực_rỡ cấu_hình mạnh_mẽ chức_năng cơ_bản hoạt_động tốt ổn_định màn_hình đẹp âm_thanh cảm_ứng lướt êm nhạy sản_phẩm hoàn_hảo shop giao hàng đúng như quảng_cáo hài_lòng vừa_ý,1,1,1,0,0,0,0,0,0
máy ok chút shop tư_vấn nhiệt_tình ủng_hộ shop dài_dài : 3,0,0,0,0,0,0,1,0,0
điện_thoại nguyên hộp mượt shop rep hơi không,0,1,1,0,0,0,0,0,0
hàng tốt lắm mong hậu_mãi tốt như ủng_hộ lâu_dài,0,0,0,0,0,0,0,0,0
shop đóg gói kĩ nhưg đi giao hàng quăg ném thàh hộp zị shop nhiệt_tình tư_vấn ủng_hộ nhoa 😗,0,0,0,0,0,0,0,0,0
sản_phẩm đẹp máy sạc khoang 10 linh_kiện zin tuyệt_vời,0,0,0,0,0,0,0,0,0
giá máy oke pin minh test 1 - 2ngay pin tks shop nhiệt_tình thẻ bảo_hành máy 👍,0,0,0,0,0,0,0,0,0
mua giao kèo kỹ hàng màn_hình nứt nhoe ko shop giao báo shop chưa liên_lạc !,0,0,0,0,0,0,0,0,1
sản_phẩm tốt nha mua không tiếc chút,0,0,0,0,0,0,0,0,1
shop giao hàng đúng chuẩn chức_năng ổn_định cấugiá hợp s vừa_ý shop giao hàng đúng như mong_đợi,0,0,0,0,0,0,0,0,0
tuyệt chất_lượng tốt đúng như shop quảng_bá hoàn_thiện chi_tiết shop uy_tín giao hàng đúng hẹn sản_phẩm đẹp không chê hài_lòng lắm giới_thiệu bạn_bè người_thân ủng_hộ shop,0,1,0,1,0,0,1,0,0
chất_lượng sản_phẩm tốt ủng_hộ shop meme ♥,0,0,0,0,0,0,0,0,1
tuyệt chất_lượng tốt đúng như shop quảng_bá hoàn_thiện chi_tiết shop uy_tín giao hàng đúng hẹn sản_phẩm đẹp không chê hài_lòng lắm giới_thiệu bạn_bè người_thân ủng_hộ shop,0,1,0,1,0,0,0,0,0
giao hàng lương sản_phẩm,0,0,0,0,0,0,0,0,0
shop uy_tín giao hàng đúng hẹn máy chất_lượng đúng quảng_cáo phong_cách làm_việc chuyên_nghiệp máy đẹp chức_năng chạy mạnh màu_sắc màn_hình hài_lòng ủng_hộ shop một,1,1,1,1,0,0,1,0,0
giao hàng 9 nhật vỏ móp méo máy bọc 1 lớp mầu xám thành mầu xanh vỏ mầu xám mắt m máy lớp niêm_phong như bóc không cảm_giác máy new 100 % chất_lượng chờ_đợi không hài_lòng !,0,1,0,1,0,1,1,0,0
máy hơi lác trắc máy,0,0,0,0,0,0,0,0,0
máy_đẹp cấu_hình mạnh game lướt web đều mượt shop giao hàng đúng như quảng_cáo giới_thiệu người_thân bạn_bè ủng_hộ shop ... chi mua hàng shop 5 *,1,1,1,0,0,0,0,0,0
giao hàng nhanh đúng chủng_loại chưa test máy tạm_thời oke,0,0,0,1,0,0,0,0,0
shop điện_thoại ngoại_hình đẹp pin tốt tiếc không chụp hình mua mua điện_thoại shop 2 shop uy_tín,1,1,0,0,0,0,1,0,0
sản_phẩm oke lắm hài_lòng sản_phẩm tuyệt_vời phục_vụ chu_đáo,0,0,0,0,0,0,1,0,0
5 giao nhanh chất_lượng tiếp,0,0,0,1,0,0,0,0,0
máy đẹp cấu_hình mạnh_mẽ game lướt web chạy êm chức_năng đều ổn_định pin trâu hài_lòng shop phục_vụ tâm vui_vẻ nhiệt_tình chuyên_nghiệp phong_cách phục_vụ shop giới_thiệu bạn_bè đồng_nghiệp ủng_hộ shop 5 *,1,1,1,0,0,0,1,0,0
sản_phẩm oke,0,0,0,0,0,0,0,0,0
shop tư_vấn nhiệt_tình giao hàng nhanh bàn_phím hơi chập_chờn không ăn,0,0,0,1,0,0,1,0,0
máy_đẹp cấu_hình mạnh game lướt web đều mượt shop giao hàng đúng như quảng_cáo giới_thiệu người_thân bạn_bè ủng_hộ shop ... chi mua hàng shop 5 *,1,1,1,0,0,0,0,0,0
mua bút tặng ốp bảo_vệ cực xịn shop máy apple care hạn tận 2022 xịn sò thử máy chạy êm sù không niêm_phong nilon máy chuẩn không xước vỏ viền hơi bùn ipados 14.1,0,0,1,0,0,0,1,1,0
mua sản_phẩm shop máy đẹp lắm chất_lượng tốt ứng_dụng hoạt_động bình_ổn màn_hình cảm_ứng màu_sắc rực_rỡ chức_năng cơ_bản đều hoàn_hảo hài_lòng vừa_ý lắm nhân_viên shop nhiệt_tình tâm khách_hàng an_tâm sản_phẩm shop,1,1,1,0,0,0,1,0,0
giao nhanh máy như giới_thiệu bạn_bè,0,1,0,1,0,0,0,0,0
tầm giá main hơi bẩn tý to màn_hình thay r pin chưa đk tạm_thời 4,1,1,0,0,1,0,0,0,0
shop giao nhanh tư_vấn chu_đáo tận_tình hàng gói cẩn_thận săn sale 10 % máy chất lươnng tốt ủng_hộ shop,0,0,0,0,0,0,0,0,0
điện_thoại cũ trầy góc mua công_nhân scan hàng tạm,0,0,0,0,0,0,0,0,1
máy ổn oke pin hơi nhanh,1,0,0,0,0,0,0,0,0
máy mới_toanh đẹp không chút trầy_xước dán tặng sẵn cường_lực check phần_mềm toàn_bộ linh_kiện đều gin bảo_hành yên_tâm mua nhe bà_con : 3 p / s : góp_ý shop giao hàng gói dày ship bắc vô nam hộp móp góc,0,0,0,0,0,0,0,0,0
nghe gọi không mong sản_phẩm oke,0,0,0,0,0,0,0,0,1
ok máy đẹp lỗi youtube coi 1 đoạn quảng_cáo văng,0,1,1,0,0,0,0,0,0
máy đẹp hình_thức sang_trọng chức_năng hoàn_thiện test sản_phẩm không lỗi đồng_tiền bát gạo shop uy_tín giao hàng đúng như quảng_cáo nhân_viên shop nhiệt_tình vui_vẻ tâm khách_hàng chế_độ hậu_mãi rõ_ràng an_tâm sản_phẩm shop,0,1,1,0,1,0,1,0,0
giao hàng nhanh chiều hôm máy_đẹp,0,1,0,1,0,0,0,0,0
điện_thoại tối tầm giá tham_khảo,0,0,0,0,0,0,0,0,0
shop đóng_gói cẩn_thận hàng đẹp đúng như mô_tả,0,1,0,1,0,0,0,0,0
màn hinh hơi tối ám vàng cải_thiện,0,0,0,0,0,0,0,0,0
shop thân hàng hãng đầy_đủ phụ_kiện,0,0,0,1,0,1,0,1,0
chất_lượng sản_phẩm tốt bề_ngoài ứng_dụng chạy êm mạnh_mẽ quay_phim chụp hình sắt sản_phẩm không lỗi hài_lòng shop giao hàng đúng như quảng_cáo bình_chọn 5,0,0,0,0,0,0,0,0,0
tốt tầm giá !,0,0,0,0,0,0,0,0,0
mua giá sale máy nguyên niêm_phong ứng màu đẹp check cá thông_số,0,0,0,0,0,0,0,0,0
1 hài_lòng chất_lượng sản_phẩm giá_thành oke ship nhanh highly nhaaa !,0,0,0,1,1,0,0,0,0
máy hình_thức đẹp tốt chưa vde cảa,0,0,0,0,0,0,0,0,0
hàng đẹp đúng mẫu mua shop 2 hài_lòng sản_phẩm shop,0,1,0,0,0,0,0,0,0
áp suât nguyên giá thi hông mua nao ngon ngoại hinh xướt nhẹ man hinh đẹp pin đủ gọn siêu mỏng tóm qa êm mua,0,0,0,0,0,0,0,0,0
đầu mua mạng ưng_ý sợ thanks shop nhìu mua hàng shop dài_dài nè 🥰,0,0,0,0,0,0,0,0,0
mua ! dịch_vụ chăm_sóc khách_hàng tận_tâm,0,0,0,0,1,0,1,0,0
hàng nguyên seal kích_hoạt bảo_hành điện_tử mua giao hàng hơi 11.1 16.1 mua đợt sale 11.1 giá tốt,0,0,0,1,1,1,0,0,0
hàng ok đóng_gói đẹp,0,0,0,1,0,0,0,0,0
giao hàng nhanh như một gió grab mia giáo tốt oke gà đen,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0
mới_đầu mua onlai hơi lo_lắng hàng shop tuyệt_vời 👍 máy đẹp shop uy_tín giao hàng như quảng_cáo máy mượt nghe gọi to rõ_ràng game mượt phụ kiên đầy_đủ shop tư_vấn nhiệt_tình chu_đáo hài_lòng ghé ủng_hộ,0,0,0,0,0,0,0,0,0
sản_phẩm tốt hiệu_năng hiệu_ứng cảnh đẹp test chưa lỗi mua chủ_yếu game game ngon tốt perfect,0,0,0,0,0,0,0,0,1
hàng oke,0,0,0,0,0,0,0,0,0
màn_hình to máy dep va co the_thao pin de dang giá_cả diem tru cua no la minh không thich cach thiet ke 2 nut ảo o duoi nhin không cân 3 nút đẹp pin minh thay it va sut rat nhanh nhu kieu pin ảo shop 5 * vi uy chat luong sản_phẩm 4 * thoi,0,0,0,0,0,0,0,0,0
hàng hãng ok đợi bữa mua,0,0,0,0,0,1,0,0,0
shop giao hàng nhanh chất_lượng tốt,0,0,0,1,0,0,0,0,0
sản_phẩm hài_lòng chăm_sóc chu_đáo nhiệt_tình ship hàng hoả_tốc,0,0,0,1,0,0,1,0,0
đt kn ngon nyc,0,0,0,0,0,0,0,0,1
máy oke dự_kiến 2 tội shop bọc chống sốc chưa kỹ shop 5,0,0,0,1,0,0,0,0,0
shop phục_vụ tốt nha,0,0,0,0,0,0,1,0,0
tậm ổn,0,0,0,0,0,0,0,0,0
ok không hài_lòng sản_phẩm shop,0,0,0,0,0,0,0,0,1
giá rẻ giao hàng nhanh tuyệt_vời chất_lượng sản_phẩm ok bảo_hành_chính hãng,0,0,0,1,1,0,0,0,0
máy oke nha coi fim lướt fb thoải_mái giá mên hàng tốt gói cẩn_thận oke,0,0,0,0,0,0,0,0,0
chất_lượng đúng quảng_cáo máy hãng ứng_dụng hoạt_động hiệu_quả hình cảm_ứng nhạy màu_sắc_đẹp bắt_mắt camera chụp hình không chê hoàn_thiện tốt shop giao hàng chuẩn hài_lòng lắm sản_phẩm shop,1,0,1,0,0,1,0,0,0
hàng hãng fullbox nguyên seale mua deal giá tốt,0,0,0,0,0,0,0,0,0
không hài_lòng nhân_viên giao hàng lắm,0,0,0,0,0,0,0,0,0
shop uy_tín giao hàng đúng hẹn sản_phẩm hãng test máy ổn_định đặc hàng shop shop chúc shop khách_hàng 5 * 👍,0,0,1,1,0,1,1,0,0
oke oke oke oke oke oke oke oke ok oke o io không oke oke io không không o không kok,0,0,0,0,0,0,0,0,0
tôt_oke,0,0,0,0,0,0,0,0,0
san pham dep nhu quange danh gia shop 5 thoi gian nhanh shop uy san pham dep nhu quange danh gia shop 5 thoi gian nhanh shop uy san pham dep nhu quange danh gia shop 5 thoi gian nhanh shop uy,0,0,0,0,0,0,0,0,0
máy ổn ngoại_hình đẹp nhìu ap rác mạng,0,1,0,0,0,0,0,0,0
hàng đẹp chất_lượng hãng nguyên hộp đầy_đủ phụ_kiện shop giá sales 2tr6 như tuyệt_vời,0,1,0,0,1,1,0,1,0
máy đẹp cảm_ứng bền chờ trả_lời,0,1,1,0,0,0,0,0,0
shop dễ_thương uy_tín giao hàng đúng chất_lượng sản_phẩm như quảng_cáo test ứng_dụng hoàn_hảo vừa_ý hàng tặng quà chị_em mua hàng shop chúc shop thành_công đông ... 5 *,0,0,1,1,0,0,1,0,0
hàng oke shop uy_tín mua,0,0,0,0,0,0,0,0,1
máy đẹp bề_ngoài 99 % test máy ứng_dụng êm chụp hình phim sắt nét game lướt web ơn shop giao hàng đúng như quảng_cáo hài_lòng giới_thiệu bạn_bè người_thân ủng_hộ shop bình_chọn shop 5,1,1,1,0,0,0,0,0,0
giao nhanh đóng_gói cẩn_thận hàng nguyên seal kèm hóa_đơn hàng tặng sạc dự_phòng hãng,0,0,0,1,0,1,1,1,0
sản_phẩm tốt mong_đợi hài_lòng ủng_hộ shop đơn hàng,0,0,0,0,0,0,0,0,0
máy đẹp ok,0,1,0,0,0,0,0,0,0
shop tư_vấn nhiệt bảng ngoại_hình thị màu tốt ram 2gb game liên_quân mượt trừ hàng chờ hàng 5 ủng_hộ shop,0,1,1,1,0,0,1,0,0
tốt pin cực trâu game cực mượt,1,0,1,0,0,0,0,0,0
máy_ngon đẹp lắm mua máy chụp đẹp ^ thank shop máy cũ update ap chạy mượt cập_nhật android 1,1,1,1,0,0,0,0,0,0
shop giao hàng như giới_thiệu máy hãng ful tiếng việt đầy_đủ phụ_kiện sản_phẩm hoạt_động ổn shop mua 1 mong shop mãi uy_tín địa_chỉ mua hàng tín cậy lazada,0,0,0,0,0,0,0,0,0
máy_đẹp mua ông_bà hộp máy cáp sạc không tai_nghe ốp,0,1,0,0,0,0,0,0,0
ngoại_hình một mĩ không nâng android mua áp hơi yếu nc tạch nhân_viên tư_vấn nhiệt_tình không thái_độ,0,1,0,0,0,0,1,0,0
vỏ hộp hơi móp shop gửi sai kính cường_lực chất_lượng ok mua giá sel không phàn_nàn,0,0,0,0,0,0,0,0,0
hàng hãng nguyên siu shop đóng_gói sản_phẩm chắc_chắn,0,0,0,0,0,0,0,0,0
lg v40 đẹp 99.9 shop uy_tín,0,1,0,0,0,0,0,0,0
shop uy_tín giao hàng đúng hẹn máy chất_lượng đúng như quảng_cáo chức_năng hoạt_động tốt chạy nhanh mạnh màu_sắc màn_hình nét ngoại_hình đẹp xịn hài_lòng lắm phong_cách làm_việc chuyên_nghiệp nhanh_chóng hài_lòng ưng lắm ủng_hộ shop,1,0,1,1,0,0,1,0,0
ksma sndowo,0,0,0,0,0,0,0,0,0
ok hop nguyên hộp không biet lỗi không sai thử bt thui 100xu,0,0,0,0,0,0,0,0,0
hàng đẹp máy ổn nhe shop !,0,1,0,0,0,0,0,0,0
giao hàng hơi 6 hàng hàng nguyên niêm_phong oke chất_lượng chưa,0,0,0,1,0,1,0,0,0
máy cũ ngoại_hình không đẹp ok tiền shop nhiệt_tình uy_tín,0,1,0,0,1,0,1,0,0
máy đẹp hơi hao bin giá tiền oke không đòi_hỏi,0,0,0,0,0,0,0,0,0
hộp đựng ốp lưng không hề ốp lưng,0,0,0,0,0,0,0,1,0
hàng nguyên niêm_phong chưa kích_hoạt ổn_áp thời_lượng pin ok,1,1,0,0,0,1,0,0,0
đặt_hàng màu trắng giao màu xám shop hàng đúng uy_tín,0,0,0,0,0,0,1,0,0
máy ok cug ổn giá tầm pin tụt nhanh,0,0,0,0,0,0,0,0,0
hàng tuyệt_vời chủ shop thân_thiện tuyệt_vời,0,0,0,0,0,0,1,0,0
j & t_giao cực nhanh hàng shop đúng chất_lượng lắm tưởng dè bự hú_hồn 😂 không uổng công hn ship hcm. ok lắm hôm mua phụ_huynh một đọc báo shop tư_vấn nhiệt_tình chế_độ bh ok shop,0,0,0,0,0,0,1,0,0
mua điện_thoại online 1 tuần sản_phẩm đẹp mượt đầy_đủ tem niêm_phong điện_thoại lỗi pin 1 - 2p mất 1 % pin không shop giải_quyết không ? shop !,1,1,1,0,0,0,0,0,0
máy chạy mượt sước méo 1chút không máy cũ nhanh pin giá nhu_cầu phim giải_trí oke,0,0,0,0,0,0,0,0,0
chuẩn máy đẹp lắm ngoại_hình bắt_mắt cầm đầm chức_năng ổn_định ứng_dụng hoạt_động tốt pin trâu_bò nha anh_em shop làm_ăn oke nhân_viên tư_vấn nhiệt_tình an_tâm sản_phẩm shop mua,1,1,1,0,0,0,1,0,0
giao hàng nhanh chất_lượng đúng hình_ảnh mô_tả hơi pin nhanh chụp ảnh oke tầm sưu_tập ảnh bts đi kèm,1,0,0,1,0,0,0,0,0
móp nhung hợp không vận_chuyển hàng oke nha,0,0,0,0,0,0,0,0,0
giao hàng nhanh gói hàng cẩn_thận mua giá tốt sale hoàn xu cấu_hình máy giá tốt máy_ảnh không nét lắm đủ nhu_cầu cơ_bản màu_sắc tươi_sáng vân quét nhạy,1,0,0,1,1,0,0,0,0
mua 10 ipad 2 shop shop nhiệt_tình uy_tín chất ủng_hộ shop lâu_dài,0,0,0,0,0,0,1,0,0
hàng sop sản_phẩm đẹp_mắt chất_lượng không chê cấu_hình mạnh giá tiền test chức_năng ổn giá_cả hợp túi_tiền vui hàng đúng như quảng_cáo giới_thiệu người_thân ủng_hộ shop uy_tín,0,0,0,0,0,0,0,0,0
màn chấm tầm thằng giao hàng hôi thank shop,1,0,0,0,0,0,0,0,0
máy đẹp bước_đầu ok gói hàng siêu kỹ dán màn_hình 1 chấm kb bụi xước 1 không p / s tức_là máy oke 🤣 thanks sh !,0,0,0,0,0,0,0,0,0
shop xác_nhận đơn hàng giao hàng đều nhanh đặt_hàng nhanh gọn lẹ shop đóng hàng chắc_chắn !,0,0,0,1,0,0,0,0,0
trầy mặt,0,1,0,0,0,0,0,0,0
shop đóng hàng đẹp máy_chất lừ máy mới_tinh nguyên mùi sản_xuất gửi hàng siêu nhanh,0,1,0,1,0,0,0,0,0
hoàn_hảo máy đẹp lắm chức_năng hoạt_động chuẩn màn_hình màu_sắc rực_rỡ như mong_đợi cảm_ứng mượt_mà êm_ái pin trâu_bò nha anh_em hài_lòng lắm shop phục_vụ tốt giao hàng chất_lượng đúng như quảng_cáo chế_độ hậu_mãi ro ràng chuẩn lắm anh_em,1,1,1,0,0,0,1,0,0
sản_phẩm tốt không tai_nghe,0,0,0,0,0,0,0,1,0
hàng đẹp nhung câu hình chậm đơ đơ đôi không shop,0,0,0,0,0,0,0,0,0
sản_phẩm tốt chất_lượng shop giao hàng đúng hẹn kiểm_tra ứng_dụng mượt game phim lướt web êm shop giao hàng đúng như quảng_cáo giới_thiệu người_thân ủng_hộ shop duyệt 5,0,0,1,1,0,0,0,0,0
sản_phẩm tuyệt_vời ủng_hộ shop,0,0,0,0,0,0,0,0,0
màn_hình thay cảm_ứng tạm ổn,0,0,0,0,0,0,0,0,1
tốt tầm giá,0,0,0,0,0,0,0,0,1
đẹp shop giao hàng đúng hẹn sản_phẩm đóng_gói gọn_gàng chắc_chắn chất_lượng tốt test chức_năng ổn_định màn_hình cảm_ứng nhạy sắc nét camera đều tuyệt_vời ứng_dụng hoạt_động chuẩn mạng game lướt web mượt_mà vừa_ý hài_lòng sản ơn shop,1,1,1,1,0,0,0,0,0
sản_phẩm tốt chất_lượng shop giao hàng đúng hẹn kiểm_tra ứng_dụng mượt game phim lướt web êm shop giao hàng đúng như quảng_cáo giới_thiệu người_thân ủng_hộ shop duyệt 5,0,0,1,1,0,0,0,0,0
sp oke máy đẹp đóng_gói cẩn_thận shop nhiệt_tình giao hàng nhanh,0,1,0,1,0,0,1,0,0
shop nhiệt_tình ban_đầu_máy lỗi shop uy_tín đổi 1 máy đẹp cũ ổn_định shop chúc shop buôn may đắt,0,0,1,0,0,0,1,0,0
máy đẹp đúng mô ta ship nhanh đóng_gói chắc_chắn bóc mãi giao hàng nhanh chưa kô hài_lòng sản_phẩm,0,0,0,0,0,0,0,0,0
điện_thoại tốt máy nguyên seal hàng hãng shop tư_vấn nhiệt_tình giao hàng nhanh,0,0,0,1,0,1,1,0,0
shop uy_tín giao hàng đúng như quảng_cáo đúng hẹn bề_ngoài 99 % test ứng_dụng êm phim chụp hình sắt nét pin trâu lướt web game sướng vừa_ý đơn hàng chúc shop thành_công khách_hàng nửa,1,1,1,1,0,0,0,0,0
máy đẹp giao hàng nhanh kết_nối hơi chậm xài lâu_dài chưa 🤣 5sao,0,1,0,1,0,0,0,0,0
sản_phẩm oke,0,0,0,0,0,0,0,0,0
điện_thoại 1 tắt tiếp tắt chất_lượng không_thể diễn_tả,0,0,0,0,0,0,0,0,1
giao hàng bù chủ shop nhiệt_tình chất_lượng sản_phẩm tốt mua shop nha uy,0,0,0,1,0,0,1,0,0
máy tạm ổn sặc pin hơi bao da shop 5sao,0,0,0,0,0,0,0,0,0
